key_resp.keys,key_resp.corr,tilt,,,hit,miss,false alarm,correct rejection,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
down,1,4,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
up,0,-1,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,-5,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,1,4,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
up,0,-4,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
up,0,-1,,,,,1,,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,2,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,1,,,,,,1,,,,,,,
down,1,-1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
up,0,-1,,,,,1,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-1,,,,,,1,,,,,,,
down,1,-1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,1,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,4,,,,,,1,,,,,,,
up,0,-5,,,,,1,,,,,,,,
up,0,0,,,,1,,,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
up,0,-5,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,0,-1,,,,,1,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,-1,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-1,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,1,0,,,,,1,,,,,,,,
up,0,0,,,,1,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,0,3,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,0,1,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
up,0,1,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,0,,,,,1,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
up,0,1,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-2,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,1,0,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
down,1,-1,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,0,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,3,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,2,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,1,1,,,,,,1,,,,,,,
up,0,-1,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,0,-1,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,1,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,0,-4,,,,,1,,,,,,,,
up,0,-3,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
down,1,0,,,,,1,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,0,,,,,1,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,4,,,,,,1,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,3,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,1,,,,,1,,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,1,,,,,1,,,,,,,,
down,1,2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,1,1,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,1,,,,,1,,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-2,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,1,3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,-4,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
down,1,-3,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,2,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-3,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,2,,,,,1,,,,,,,,
down,1,2,,,,,,1,,,,,,,
down,1,-1,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,1,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,0,1,,,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-5,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,1,-4,,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,,
down,0,0,,,,1,,,,,Respond YES,Respond NO,,,
up,0,0,,,,1,,,,signal present,Hit,Miss,,prop hit = hit/hit+miss,0.595238095
up,1,0,,,1,,,,,signal absent,False Alarm,Correct rejection,,prop FA = FA/FA+Correct rejection,0.227272727
down,1,4,,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,,
down,0,0,,,,1,,,,,,,,,
up,1,0,,,1,,,,,,Respond YES,Respond NO,,d-prime = Z(prop hit) -Z(prop FA),0.988898989
up,1,0,,,1,,,,,,100,68,,C= -Z(prop hit) + Z(prop FA)/2,-0.614969691
up,1,0,,,1,,,,,,30,102,,,
down,1,2,,,,,,1,,,,,,,
down,1,-5,,,,,,1,,,,,,the negative value indicates ,
down,1,2,,,,,,1,,,,,,tendency to say no,
up,1,0,,,1,,,,,,,,,Conservative bias,
up,0,-2,,,,,1,,,,,,,,
down,1,-1,,,,,,1,,,,,,,
down,1,-2,,,,,,1,,,,,,,
,,,,,100,68,30,102,,,,,,,
,,,,,hit,miss,false alarm,correct rejection,,,,,,,
